mass,rt,
773.1983,8.1649862,
777.21246,8.1649862,
786.17731,8.1649862,
912.24451,8.1649862,
915.26141,8.1649862,
325.21964,8.1772196,
368.97543,8.1772196,
399.21307,8.1772196,
413.9686,8.1772196,
510.94824,8.1772196,
634.01862,8.1772196,
775.21552,8.1772196,
776.2179,8.1772196,
828.18512,8.1772196,
848.91956,8.1772196,
870.30627,8.1772196,
914.25934,8.1772196,
177.09146,8.189932,
397.21707,8.189932,
339.16232,8.2018737,
474.2338,8.2018737,
237.11571,8.2142737,
241.18027,8.2142737,
342.23563,8.2142737,
475.2724,8.2142737,
496.93341,8.2142737,
534.24609,8.2142737,
265.99463,8.2269507,
215.16451,8.2269507,
216.16798,8.2269507,
283.19067,8.2269507,
284.19391,8.2269507,
357.26373,8.2269507,
362.24408,8.2269507,
364.2598,8.2269507,
451.9314,8.2269507,
493.19147,8.2269507,
950.22339,8.2269507,
223.02759,8.2387716,
297.04614,8.2387716,
343.22983,8.2387716,
361.24054,8.2387716,
363.25613,8.2387716,
421.26147,8.2387716,
424.23593,8.2387716,
435.24063,8.2387716,
448.93195,8.2387716,
449.93509,8.2387716,
450.92676,8.2387716,
530.93555,8.2387716,
563.28143,8.2387716,
585.32501,8.2387716,
633.23938,8.2387716,
795.05048,8.2387716,
325.21954,8.2514612,
341.21439,8.2514612,
357.20935,8.2514612,
431.24646,8.2514612,
560.30658,8.2514612,
213.18526,8.2642279,
313.23746,8.2642279,
344.23322,8.2642279,
345.24536,8.2642279,
502.97623,8.2642279,
877.37085,8.2642279,
878.37018,8.2642279,
414.21231,8.2769737,
474.26974,8.2769737,
249.57854,8.2893361,
561.30927,8.2893361,
248.58083,8.3012924,
297.20612,8.3012924,
191.10738,8.3133778,
497.16602,8.3133778,
498.16916,8.3133778,
519.14771,8.3133778,
563.2818,8.3133778,
229.18005,8.3260487,
249.15242,8.3260487,
287.22189,8.3260487,
499.16266,8.3260487,
500.16428,8.3260487,
520.15033,8.3260487,
538.25977,8.3260487,
591.42871,8.3260487,
632.23761,8.3260487,
167.14357,8.3377466,
222.15729,8.3377466,
236.12387,8.3377466,
249.07687,8.3377466,
292.19113,8.3377466,
328.16745,8.3377466,
330.16467,8.3377466,
338.19644,8.3377466,
353.01273,8.3377466,
211.13326,8.3504507,
221.15395,8.3504507,
230.18343,8.3504507,
235.12059,8.3504507,
243.19572,8.3504507,
248.07919,8.3504507,
352.21188,8.3504507,
353.21539,8.3504507,
220.14601,8.3632612,
311.22192,8.3632612,
317.03595,8.3632612,
318.03543,8.3632612,
346.97345,8.3632612,
407.06708,8.3746549,
630.95874,8.3746549,
674.94952,8.3746549,
675.95172,8.3746549,
738.94501,8.3746549,
760.9278,8.3746549,
796.99841,8.3746549,
206.15422,8.3871925,
429.70468,8.3871925,
430.24359,8.3871925,
430.97214,8.3871925,
431.24606,8.3871925,
494.96796,8.3871925,
502.30222,8.3871925,
297.24249,8.3993633,
369.26346,8.3993633,
434.26428,8.3993633,
501.28839,8.3993633,
558.29077,8.3993633,
226.02396,8.4114757,
242.05431,8.4114757,
243.05244,8.4114757,
321.06177,8.4114757,
372.20218,8.4114757,
373.24036,8.4114757,
374.24365,8.4114757,
223.02763,8.4240966,
224.02681,8.4240966,
225.02446,8.4240966,
239.05894,8.4240966,
240.05779,8.4240966,
241.05586,8.4240966,
258.1702,8.4240966,
355.24796,8.4240966,
227.02141,8.4359008,
227.1646,8.4359008,
312.97205,8.4359008,
279.12613,8.4486174,
335.14929,8.4486174,
200.01138,8.4857591,
299.04282,8.4857591,
351.03333,8.4857591,
377.01901,8.4857591,
448.21857,8.4857591,
316.05652,8.4984882,
189.07614,8.4984882,
258.17838,8.4984882,
297.04645,8.4984882,
298.04532,8.4984882,
315.05695,8.4984882,
353.03043,8.4984882,
357.01331,8.4984882,
518.16919,8.4984882,
257.17517,8.5109447,
282.99448,8.5109447,
379.21494,8.5109447,
500.28586,8.5109447,
243.19563,8.5236299,
244.19901,8.5236299,
371.24277,8.5236299,
372.24612,8.5236299,
818.91931,8.5236299,
299.22183,8.535932,
386.21777,8.535932,
498.26981,8.535932,
840.90143,8.535932,
226.18051,8.5485674,
255.08711,8.5485674,
327.16281,8.5485674,
437.25638,8.5485674,
446.23859,8.5485674,
518.29694,8.5485674,
559.29291,8.5485674,
963.409,8.5485674,
162.9818,8.5612487,
312.97183,8.5612487,
